City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Punta Arenas,CL,48.31,clear sky,-53.15,-70.9167,Hotel Hain
4,Westport,US,43.75,clear sky,41.1415,-73.3579,The Westport Inn
9,Ketchikan,US,41.47,clear sky,55.3422,-131.6461,Snow's Cove Lodge
10,Misawa,JP,45.61,broken clouds,40.6836,141.3597,Hoshino Resorts Aomoriya
16,Bredasdorp,ZA,55.26,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
19,Sitka,US,46.29,clear sky,57.0531,-135.33,Westmark Sitka
22,Saint George,US,46.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
26,New Norfolk,AU,59.92,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
27,San Patricio,US,52.84,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
32,Nemuro,JP,42.69,broken clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
33,Constitucion,CL,56.66,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
35,Hofn,IS,46.8,overcast clouds,64.2539,-15.2082,Hótel Höfn
36,Chuy,UY,59.68,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
38,Coihaique,CL,51.75,light rain,-45.5752,-72.0662,Diego De Almagro Coyhaique
39,Castro,BR,53.91,clear sky,-24.7911,-50.0119,CHACARA BAILLY
45,Hermanus,ZA,57.52,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
48,Codrington,AU,58.66,broken clouds,-38.2667,141.9667,
52,Sar-E Pul,AF,44.92,overcast clouds,35.8333,66.1667,
64,Kruisfontein,ZA,56.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
68,Faya,SA,52.32,clear sky,18.3851,42.4509,شيلة نسايم
69,Olafsvik,IS,44.11,light rain,64.8945,-23.7142,Hotel Olafsvik
73,Zhuanghe,CN,55.89,clear sky,39.7008,122.9911,Hanting Express Dalian Zhuanghe Qiansheng
75,Ancud,CL,53.73,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
91,Americus,US,47.79,broken clouds,32.0724,-84.2327,Best Western Plus Windsor Hotel
92,Bluff,NZ,54.73,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
100,Fortuna,US,45.52,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
