City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yaan,NG,7.3833,8.5667,70.65,75,90,4.94,overcast clouds
1,Punta Arenas,CL,-53.15,-70.9167,48.31,66,0,12.66,clear sky
2,Cape Town,ZA,-33.9258,18.4232,64.38,68,0,14.97,clear sky
3,Ulkan,RU,57.243,107.3223,31.5,84,96,11.07,overcast clouds
4,Westport,US,41.1415,-73.3579,43.75,70,0,10.36,clear sky
5,Pathein,MM,16.7833,94.7333,83.32,62,100,8.97,overcast clouds
6,Santa Rosa,PH,14.3122,121.1114,90.09,69,79,12.35,broken clouds
7,Jamestown,US,42.097,-79.2353,33.39,65,100,11.5,overcast clouds
8,Kavieng,PG,-2.5744,150.7967,84.65,70,89,8.05,light rain
9,Ketchikan,US,55.3422,-131.6461,41.47,93,0,6.91,clear sky
10,Misawa,JP,40.6836,141.3597,45.61,49,78,15.43,broken clouds
11,Ampanihy,MG,-24.7,44.75,71.15,60,0,3.15,clear sky
12,Slave Lake,CA,55.2834,-114.769,13.98,73,75,10.36,broken clouds
13,Vilhena,BR,-12.7406,-60.1458,71.37,69,86,1.66,overcast clouds
14,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,75,71,12.88,broken clouds
15,El Alto,PE,-4.2714,-81.2147,65.01,80,94,16.02,overcast clouds
16,Bredasdorp,ZA,-34.5322,20.0403,55.26,72,100,3.22,overcast clouds
17,Ribeira Grande,PT,38.5167,-28.7,62.78,64,56,5.99,broken clouds
18,Thompson,CA,55.7435,-97.8558,14.16,85,100,13.8,light snow
19,Sitka,US,57.0531,-135.33,46.29,76,0,4.61,clear sky
20,Bengkulu,ID,-3.8004,102.2655,79.34,78,100,7.38,light rain
21,Kendari,ID,-3.945,122.4989,86.61,63,100,7.0,overcast clouds
22,Saint George,US,37.1041,-113.5841,46.99,42,0,4.61,clear sky
23,Mataura,NZ,-46.1927,168.8643,64.22,79,99,3.91,light rain
24,Hearst,CA,49.6835,-83.6665,14.25,96,100,2.75,overcast clouds
25,Ponta Do Sol,PT,32.6667,-17.1,69.71,84,87,6.62,overcast clouds
26,New Norfolk,AU,-42.7826,147.0587,59.92,46,100,3.0,overcast clouds
27,San Patricio,US,28.017,-97.5169,52.84,60,100,6.64,overcast clouds
28,Canutama,BR,-6.5339,-64.3831,74.77,88,68,1.52,broken clouds
29,Saint-Philippe,RE,-21.3585,55.7679,74.79,67,22,5.55,few clouds
30,Guaimaro,CU,21.05,-77.35,73.31,95,6,6.35,clear sky
31,Alice Town,BS,25.7167,-79.3,78.98,74,17,6.13,few clouds
32,Nemuro,JP,43.3236,145.575,42.69,58,58,9.55,broken clouds
33,Constitucion,CL,-35.3333,-72.4167,56.66,83,21,12.26,few clouds
34,Atuona,PF,-9.8,-139.0333,78.46,76,9,16.64,clear sky
35,Hofn,IS,64.2539,-15.2082,46.8,89,100,26.17,overcast clouds
36,Chuy,UY,-33.6971,-53.4616,59.68,84,1,4.16,clear sky
37,Cidreira,BR,-30.1811,-50.2056,65.43,64,0,4.61,clear sky
38,Coihaique,CL,-45.5752,-72.0662,51.75,82,91,8.05,light rain
39,Castro,BR,-24.7911,-50.0119,53.91,83,0,6.78,clear sky
40,Tahlequah,US,35.9154,-94.97,29.48,80,0,0.0,clear sky
41,Ferme-Neuve,CA,46.7001,-75.4493,25.81,96,95,2.75,overcast clouds
42,Albany,US,42.6001,-73.9662,37.38,90,56,5.59,broken clouds
43,Rikitea,PF,-23.1203,-134.9692,73.76,91,100,22.32,heavy intensity rain
44,San Cristobal,VE,7.7669,-72.225,66.38,98,100,1.59,overcast clouds
45,Hermanus,ZA,-34.4187,19.2345,57.52,72,99,5.06,overcast clouds
46,Souillac,MU,-20.5167,57.5167,70.18,78,40,2.3,scattered clouds
47,Bambous Virieux,MU,-20.3428,57.7575,76.21,78,40,2.3,scattered clouds
48,Codrington,AU,-38.2667,141.9667,58.66,68,72,11.16,broken clouds
49,Hithadhoo,MV,-0.6,73.0833,81.09,78,73,11.43,broken clouds
50,Gorin,RU,51.1983,136.6669,26.01,58,48,4.81,scattered clouds
51,Hobyo,SO,5.3505,48.5268,81.34,71,51,12.5,light rain
52,Sar-E Pul,AF,35.8333,66.1667,44.92,29,93,6.6,overcast clouds
53,Bermejo,AR,-32.8833,-68.8,82.31,34,20,12.66,few clouds
54,Yellowknife,CA,62.456,-114.3525,5.56,92,75,4.61,light snow
55,Wanning,CN,18.8003,110.3967,81.61,78,27,8.48,scattered clouds
56,Siguatepeque,HN,14.6,-87.8333,61.75,99,45,3.38,scattered clouds
57,Bumbuna,SL,9.05,-11.7333,69.22,85,78,1.68,broken clouds
58,Arlit,NE,18.7369,7.3853,64.58,23,24,4.79,few clouds
59,Wamba,NG,8.9333,8.6,69.6,40,23,3.04,few clouds
60,Karasjok,NO,69.4719,25.5112,7.68,77,16,1.95,few clouds
61,Sakaraha,MG,-22.9,44.5333,71.08,73,0,1.21,clear sky
62,Puerto Escondido,MX,15.85,-97.0667,78.49,76,98,4.23,overcast clouds
63,Iqaluit,CA,63.7506,-68.5145,8.33,85,100,6.91,light snow
64,Kruisfontein,ZA,-34.0033,24.7314,56.88,74,96,6.13,overcast clouds
65,Yarada,IN,17.65,83.2667,80.92,54,0,10.36,haze
66,Gwadar,PK,25.1216,62.3254,78.57,64,6,4.45,clear sky
67,Dikson,RU,73.5069,80.5464,1.4,92,100,20.56,overcast clouds
68,Faya,SA,18.3851,42.4509,52.32,51,4,1.86,clear sky
69,Olafsvik,IS,64.8945,-23.7142,44.11,79,86,19.24,light rain
70,Hobart,AU,-42.8794,147.3294,61.27,67,20,19.57,few clouds
71,Olkhovka,RU,53.2115,60.6069,15.8,94,70,1.14,broken clouds
72,Ilulissat,GL,69.2167,-51.1,5.68,84,100,4.03,overcast clouds
73,Zhuanghe,CN,39.7008,122.9911,55.89,71,0,7.09,clear sky
74,Leningradskiy,RU,69.3833,178.4167,5.2,94,100,2.86,overcast clouds
75,Ancud,CL,-41.8697,-73.8203,53.73,93,47,6.67,scattered clouds
76,Busselton,AU,-33.65,115.3333,63.07,53,85,21.7,overcast clouds
77,Thinadhoo,MV,0.5333,72.9333,81.32,71,94,11.21,overcast clouds
78,Mahebourg,MU,-20.4081,57.7,76.24,78,40,2.3,scattered clouds
79,Christchurch,NZ,-43.5333,172.6333,69.42,75,75,10.36,broken clouds
80,Vaini,TO,-21.2,-175.2,78.96,83,75,3.44,broken clouds
81,Georgetown,MY,5.4112,100.3354,84.15,84,20,5.75,few clouds
82,Tiksi,RU,71.6872,128.8694,-18.69,99,97,3.51,overcast clouds
83,Tuktoyaktuk,CA,69.4541,-133.0374,14.0,73,20,12.66,few clouds
84,Cap-Chat,CA,49.1001,-66.6821,28.4,93,100,16.11,snow
85,Feijo,BR,-8.1642,-70.3536,72.07,99,96,2.13,overcast clouds
86,Progreso,MX,21.2833,-89.6667,78.37,81,92,12.55,light rain
87,Tipuani,BO,-15.5648,-68.0185,71.6,79,83,3.06,broken clouds
88,Severo-Kurilsk,RU,50.6789,156.125,35.1,64,97,6.49,overcast clouds
89,Chokurdakh,RU,70.6333,147.9167,-20.18,99,90,5.41,overcast clouds
90,Khatanga,RU,71.9667,102.5,-33.41,100,94,5.35,overcast clouds
91,Americus,US,32.0724,-84.2327,47.79,66,75,5.75,broken clouds
92,Bluff,NZ,-46.6,168.3333,54.73,90,99,14.32,overcast clouds
93,Carnarvon,AU,-24.8667,113.6333,69.67,51,67,18.72,broken clouds
94,Hornepayne,CA,49.2138,-84.7705,15.08,91,100,3.38,overcast clouds
95,Provideniya,RU,64.3833,-173.3,35.71,87,100,18.01,light intensity shower rain
96,Zyryanka,RU,65.75,150.85,-8.54,98,100,9.4,light snow
97,Salalah,OM,17.0151,54.0924,77.13,62,3,2.17,clear sky
98,Srandakan,ID,-7.9386,110.2506,85.82,69,46,6.89,scattered clouds
99,Lagoa,PT,39.05,-27.9833,60.69,68,100,20.4,overcast clouds
100,Fortuna,US,40.5982,-124.1573,45.52,100,0,5.75,clear sky
101,Longyearbyen,SJ,78.2186,15.6401,21.04,68,20,8.05,few clouds
102,Sagae,JP,38.3725,140.2725,51.78,62,75,6.91,broken clouds
103,Inhambupe,BR,-11.7844,-38.3531,69.93,98,66,4.9,broken clouds
104,Saskylakh,RU,71.9167,114.0833,-26.84,99,100,4.45,overcast clouds
105,Irara,BR,-12.05,-38.7667,68.67,98,74,3.18,broken clouds
